fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,quality
7,0.23,0.33,5.8,0.04,25,6
7.1,0.31,0.5,14.5,0.059,6,5
7.3,0.2,0.37,1.2,0.037,48,6
6.9,0.41,0.33,10.1,0.043,28,5
6.4,0.45,0.07,1.1,0.03,10,5
6.4,0.475,0.06,1,0.03,9,5
6.3,0.27,0.38,0.9,0.051,7,7
6.9,0.41,0.33,10.1,0.043,28,5
7,0.29,0.37,4.9,0.034,26,6
5.9,0.27,0.29,11.4,0.036,31,8
6.9,0.19,0.4,1.4,0.036,14,7
6.7,0.3,0.35,1.4,0.18,36,6
7.2,0.24,0.4,1.4,0.045,31,6
6.4,0.45,0.07,1.1,0.03,10,5
6.4,0.475,0.06,1,0.03,9,5
6.3,0.26,0.49,1.5,0.052,34,6
6.3,0.26,0.49,1.5,0.052,34,6
7.3,0.25,0.29,7.5,0.049,38,5
7.3,0.25,0.29,7.5,0.049,38,5
6.1,0.28,0.25,17.75,0.044,48,5
7.4,0.37,0.35,5.7,0.061,12,6
6.5,0.36,0.28,3.2,0.037,29,8
7.4,0.24,0.4,4.3,0.032,9,6
7.5,0.23,0.68,11,0.047,37,5
7.5,0.21,0.68,10.9,0.045,38,5
7.5,0.21,0.68,10.9,0.045,38,5
7.5,0.23,0.68,11,0.047,37,5
7.8,0.32,0.33,2.4,0.037,18,7
7.8,0.26,0.27,1.9,0.051,52,6
7.7,0.24,0.27,1.8,0.051,52,6
7.4,0.19,0.3,1.4,0.057,33,6
6.5,0.46,0.41,16.8,0.084,59,5
6.5,0.26,0.43,8.9,0.083,50,5
5.3,0.32,0.12,6.6,0.043,22,6
7.2,0.24,0.34,1.1,0.045,3,5
6,0.36,0.06,1.4,0.066,27,5
6.2,0.24,0.29,13.3,0.039,49,8
7.6,0.56,0.12,10.4,0.096,22,4
7,0.32,0.24,6.2,0.048,31,6
7,0.32,0.24,6.2,0.048,31,6
5.8,0.31,0.33,1.2,0.036,23,6
7,0.23,0.42,18.05,0.05,35,5
7,0.23,0.42,18.05,0.05,35,5
6.9,0.24,0.33,4.8,0.04,16,6
6,0.29,0.2,12.6,0.045,45,5
6.1,0.17,0.28,4.5,0.033,46,6
5.9,0.14,0.25,4.5,0.027,34,6
6.2,0.17,0.28,4.7,0.037,39,7
7.4,0.28,0.25,11.9,0.053,25,5
5.6,0.35,0.14,5,0.046,48,5
5.8,0.335,0.14,5.8,0.046,49,5
5.6,0.235,0.29,1.2,0.047,33,7
6.1,0.28,0.25,12.9,0.054,34,4
6.3,0.21,0.33,13.9,0.046,68,6
6.4,0.24,0.28,11.5,0.05,34,5
6.4,0.24,0.29,11.4,0.051,32,5
6.3,0.26,0.25,7.8,0.058,44,5
6.5,0.33,0.72,1.1,0.061,7,4
7.4,0.105,0.34,12.2,0.05,57,6
6,0.32,0.12,5.9,0.041,34,5
7.1,0.26,0.34,14.4,0.067,35,7
7.1,0.26,0.34,14.4,0.067,35,7
7.1,0.26,0.34,14.4,0.067,35,7
7.1,0.26,0.34,14.4,0.067,35,7
5.9,0.24,0.26,12.3,0.053,34,6
6.5,0.21,0.37,2.5,0.048,70,7
7.7,0.27,0.35,5.3,0.03,30,6
9,0.27,0.35,4.9,0.028,27,6
7.3,0.34,0.21,3.2,0.05,14,5
6.6,0.27,0.25,3.1,0.052,41,5
6.8,0.29,0.16,1.4,0.038,122.5,4
7.1,0.28,0.26,1.9,0.049,12,5
6.8,0.25,0.34,14,0.032,47,7
7,0.57,0.1,8.3,0.094,23,4
7.1,0.28,0.26,1.9,0.049,12,5
7.1,0.17,0.38,7.4,0.052,49,6
7.8,0.28,0.22,1.4,0.056,24,5
6.8,0.22,0.37,1.7,0.036,38,6
7.1,0.17,0.38,7.4,0.052,49,6
6.1,0.14,0.25,1.3,0.047,37,6
6.4,0.24,0.5,11.6,0.047,60,5
7.8,0.42,0.26,9.2,0.058,34,6
6.6,0.28,0.36,1.7,0.038,22,6
7.1,0.32,0.34,14.5,0.039,46,8
6.7,0.31,0.3,2.1,0.038,18,6
6.4,0.32,0.5,10.7,0.047,57,5
6.1,0.28,0.25,6.9,0.056,44,6
5.9,0.29,0.25,12,0.057,48,6
5.8,0.32,0.38,4.75,0.033,23,7
5.8,0.32,0.38,4.75,0.033,23,7
5.7,0.32,0.38,4.75,0.033,23,7
6.7,0.28,0.14,1.4,0.043,64,5
6.8,0.34,0.69,1.3,0.058,12,5
5.9,0.25,0.25,11.3,0.052,30,6
6.4,0.27,0.32,4.5,0.24,61,5
8.1,0.46,0.31,1.7,0.052,50,5
6.2,0.36,0.26,13.2,0.051,54,5
6.8,0.22,0.35,5.5,0.043,21,7
6.8,0.67,0.3,13,0.29,22,4
7.2,0.28,0.3,10.7,0.044,61,6
6.7,0.17,0.37,2,0.039,34,7
6.9,0.2,0.34,1.9,0.043,25,4
6.1,0.36,0.16,6.4,0.037,36,6
6,0.36,0.16,6.3,0.036,36,5
5.9,0.37,0.14,6.3,0.036,34,5
7.6,0.29,0.58,17.5,0.041,51,6
6.3,0.34,0.28,14.7,0.047,49,5
6.7,0.19,0.34,1,0.022,22,6
7.5,0.31,0.51,14.8,0.039,62,5
7.5,0.31,0.51,14.8,0.039,62,5
7.4,0.31,0.48,14.2,0.042,62,5
8.4,0.4,0.7,13.1,0.042,29,5
5.9,0.34,0.22,2.4,0.03,19,7
6.6,0.38,0.18,1.2,0.042,20,4
6.4,0.33,0.28,1.1,0.038,30,6
5.6,0.25,0.26,3.6,0.037,18,6
8.6,0.27,0.46,6.1,0.032,13,5
6.2,0.31,0.21,6.3,0.041,50,5
7.2,0.18,0.45,4.4,0.046,57,6
7.7,0.2,0.44,13.9,0.05,44,6
6.2,0.47,0.21,1,0.044,13,5
6.1,0.25,0.24,12.1,0.046,51,5
8.2,0.27,0.43,1.6,0.035,31,6
8.2,0.27,0.43,1.6,0.035,31,6
6.4,0.31,0.39,7.5,0.04,57,5
6,0.39,0.26,2.7,0.038,39,6
6.2,0.21,0.27,1.7,0.038,41,7
7.7,0.42,0.31,9.2,0.048,22,6
7,0.27,0.41,18.75,0.042,34,5
6.2,0.21,0.27,1.7,0.038,41,7
7.4,0.29,0.5,1.8,0.042,35,7
6.6,0.29,0.44,9,0.053,62,5
6,0.3,0.44,1.5,0.046,15,5
6.9,0.31,0.34,1.6,0.032,23,6
6.6,0.33,0.31,1.3,0.02,29,8
7.8,0.3,0.4,1.8,0.028,23,7
6.4,0.39,0.21,1.2,0.041,35,5
6.4,0.24,0.31,2.8,0.038,41,7
7,0.21,0.34,8,0.057,19,5
6.4,0.16,0.31,5.3,0.043,42,5
6,0.33,0.27,0.8,0.185,12,5
6.5,0.23,0.33,13.8,0.042,25,6
6.2,0.25,0.48,10,0.044,78,6
8.8,0.28,0.45,6,0.022,14,7
6.6,0.25,0.3,14.4,0.052,40,6
6.9,0.38,0.25,9.8,0.04,28,5
6.4,0.25,0.3,5.5,0.038,15,6
6.6,0.25,0.3,14.4,0.052,40,6
6.9,0.38,0.25,9.8,0.04,28,5
7.1,0.21,0.31,3.8,0.021,40,7
6.4,0.25,0.3,5.5,0.038,15,6
6.9,0.39,0.4,4.6,0.022,5,3
5.8,0.2,0.3,1.5,0.031,21,6
7,0.2,0.37,2,0.03,26,6
5.9,0.26,0.25,12.5,0.034,38,5
7.4,0.38,0.27,7.5,0.041,24,5
7.4,0.2,1.66,2.1,0.022,34,6
7,0.21,0.34,8.5,0.033,31,6
7.2,0.29,0.4,7.6,0.024,56,6
6.9,0.18,0.38,8.1,0.049,44,6
7.3,0.3,0.42,7.35,0.025,51,6
7.2,0.29,0.4,7.6,0.024,56,6
6.9,0.2,0.5,10,0.036,78,6
6.7,0.2,0.42,14,0.038,83,6
7,0.21,0.34,8.5,0.033,31,6
5.9,0.35,0.47,2.2,0.11,14,5
7.1,0.28,0.44,1.8,0.032,32,7
5.8,0.25,0.28,11.1,0.056,45,5
6.8,0.22,0.37,15.2,0.051,68,6
7.1,0.14,0.4,1.2,0.051,55,7
7.1,0.13,0.4,1.2,0.047,54,7
6.9,0.18,0.38,8.1,0.049,44,6
7,0.2,0.38,8.1,0.05,42,6
6.8,0.24,0.49,19.3,0.057,55,5
5,0.44,0.04,18.6,0.039,38,6
6.3,0.3,0.28,5,0.042,36,6
7.2,0.27,0.42,1.6,0.05,35,6
6.7,0.5,0.63,13.4,0.078,81,5
6.8,0.2,0.36,1.6,0.028,7,6
6.7,0.11,0.34,8.8,0.043,41,7
6.7,0.11,0.34,8.8,0.043,41,7
6.8,0.12,0.31,5.2,0.045,29,7
6.6,0.16,0.57,1.1,0.13,58,7
6.6,0.21,0.6,1.1,0.135,61,7
6.1,0.27,0.3,16.7,0.039,49,5
9.1,0.27,0.45,10.6,0.035,28,9
6.4,0.225,0.48,2.2,0.115,29,6
8.3,0.14,0.45,1.5,0.039,18,6
7.2,0.23,0.19,13.7,0.052,47,5
6.9,0.22,0.37,15,0.053,59,7
8.1,0.17,0.44,14.1,0.053,43,8
6,0.395,0,1.4,0.042,7,4
7.8,0.29,0.22,9.5,0.056,44,6
6.9,0.22,0.37,15,0.053,59,7
8.1,0.17,0.44,14.1,0.053,43,8
7.2,0.23,0.19,13.7,0.052,47,5
7.6,0.3,0.27,10.6,0.039,31,6
7.7,0.34,0.28,11,0.04,31,6
7.7,0.34,0.28,11,0.04,31,6
5.8,0.34,0.16,7,0.037,26,7
7.6,0.3,0.27,10.6,0.039,31,6
7.7,0.34,0.28,11,0.04,31,6
5.9,0.24,0.3,2,0.033,28,7
6.4,0.46,0.08,4.9,0.046,34,5
5.9,0.24,0.3,2,0.033,28,7
7.4,0.32,0.27,1.4,0.049,38,5
7.2,0.31,0.26,7.3,0.05,37,5
7.8,0.42,0.23,8.8,0.054,42,6
6.9,0.24,0.33,12.5,0.046,47,6
5.4,0.18,0.24,4.8,0.041,30,6
6,0.18,0.31,1.4,0.036,14,8
7.8,0.27,0.58,11.2,0.036,44,6
6,0.28,0.49,6.8,0.048,61,5
6.8,0.39,0.35,11.6,0.044,57,5
6.6,0.21,0.31,11.4,0.039,46,7
7.3,0.32,0.34,6.6,0.032,24,6
7.8,0.27,0.58,11.2,0.036,44,6
6.4,0.31,0.26,13.2,0.046,57,5
6.2,0.29,0.26,13.1,0.046,55,6
6,0.39,0.17,12,0.046,65,6
6.2,0.3,0.26,13.4,0.046,57,6
6,0.28,0.49,6.8,0.048,61,5
6,0.41,0.05,1.5,0.063,17,6
6.4,0.35,0.28,1.1,0.055,9,7
6.5,0.26,0.32,16.5,0.045,44,6
7.9,0.35,0.24,15.6,0.072,44,6
6.2,0.3,0.17,2.8,0.04,24,5
8.4,0.18,0.42,5.1,0.036,7,5
6.6,0.56,0.22,8.9,0.034,27,5
6.2,0.3,0.17,2.8,0.04,24,5
6.6,0.56,0.22,8.9,0.034,27,5
6.6,0.36,0.29,1.6,0.021,24,9
7.3,0.655,0.2,10.2,0.071,28,6
6.8,0.18,0.21,5.4,0.053,34,5
6.7,0.19,0.23,6.2,0.047,36,6
8.4,0.18,0.42,5.1,0.036,7,5
7,0.21,0.37,7.2,0.042,36,6
6.8,0.25,0.38,8.1,0.046,24,6
7.4,0.24,0.36,2,0.031,27,9
7.1,0.16,0.36,10.7,0.044,20,7
7.1,0.16,0.36,1.2,0.043,21,7
7.3,0.205,0.31,1.7,0.06,34,6
7.4,0.17,0.4,5.5,0.037,34,4
7.3,0.3,0.34,2.7,0.044,34,8
6.9,0.25,0.34,1.3,0.035,27,6
7.3,0.205,0.31,1.7,0.06,34,6
7.5,0.42,0.34,4.3,0.04,34,8
7.3,0.25,0.36,2.1,0.034,30,8
7.3,0.25,0.36,2.1,0.034,30,8
7.3,0.25,0.36,2.1,0.034,30,8
7.5,0.34,0.35,6,0.034,12,7
7.6,0.33,0.35,6.3,0.036,12,7
8.7,0.23,0.32,13.4,0.044,35,7
8.7,0.23,0.32,13.4,0.044,35,7
6.9,0.19,0.35,1.7,0.036,33,7
7.3,0.21,0.29,1.6,0.034,29,8
7.3,0.21,0.29,1.6,0.034,29,8
6.6,0.22,0.37,15.4,0.035,62,5
9.2,0.34,0.27,1.2,0.026,17,5
8.7,0.23,0.32,13.4,0.044,35,7
6,0.2,0.24,1.8,0.03,30,6
6.9,0.19,0.35,1.7,0.036,33,7
8.2,0.38,0.49,13.6,0.042,58,5
6.9,0.18,0.36,1.3,0.036,40,7
7.7,0.34,0.58,11.1,0.039,41,5
6.9,0.18,0.36,1.3,0.036,40,7
7.4,0.2,0.35,2.1,0.038,30,7
8.2,0.38,0.49,13.6,0.042,58,5
8.2,0.4,0.48,13.7,0.042,59,5
6.7,0.22,0.39,10.2,0.038,60,7
6.6,0.3,0.3,4.8,0.17,60,5
8.1,0.27,0.35,1.7,0.03,38,8
7.3,0.25,0.42,14.2,0.041,57,7
4.8,0.34,0,6.5,0.028,33,6
6.2,0.28,0.33,1.7,0.029,24,6
4.8,0.33,0,6.5,0.028,34,5
6.1,0.27,0.33,2.2,0.021,26,6
6.9,0.18,0.36,1.3,0.036,40,7
7.8,0.18,0.46,12.6,0.042,41,8
7.3,0.28,0.42,14.4,0.04,49,7
7.3,0.24,0.29,1.2,0.037,37,6
6,0.45,0.65,9.7,0.08,11,5
7.7,0.34,0.58,11.1,0.039,41,5
6.3,0.26,0.21,4,0.03,24,6
10.3,0.17,0.47,1.4,0.037,5,3
7.7,0.15,0.29,1.3,0.029,10,5
7.1,0.21,0.32,2.2,0.037,28,7
6.9,0.36,0.34,4.2,0.018,57,9
6,0.28,0.34,1.6,0.119,33,6
6.2,0.16,0.54,1.4,0.126,37,6
6.9,0.12,0.36,2.2,0.037,18,8
7.1,0.21,0.32,2.2,0.037,28,7
8.8,0.36,0.44,1.9,0.04,9,6
7.4,0.26,0.43,6,0.022,22,6
7.4,0.26,0.43,6,0.022,22,6
6.8,0.23,0.29,12.2,0.035,38,6
6.1,0.34,0.27,2.6,0.024,20,7
7.3,0.26,0.31,1.6,0.04,39,6
6.5,0.3,0.32,2,0.044,34,7
7.3,0.26,0.31,1.6,0.04,39,6
6.5,0.3,0.32,2,0.044,34,7
5,0.31,0,6.4,0.046,43,6
5.8,0.26,0.18,1.2,0.031,40,7
5.9,0.26,0.3,1,0.036,38,5
7,0.31,0.29,1.4,0.037,33,7
5.8,0.26,0.18,1.2,0.031,40,7
5.6,0.19,0.39,1.1,0.043,17,6
6.8,0.18,0.28,8.7,0.047,52,6
7,0.29,0.26,1.6,0.044,12,6
6.6,0.26,0.29,1.4,0.039,13,6
6.8,0.18,0.28,8.5,0.047,52,6
6.6,0.2,0.38,7.9,0.052,30,7
8,0.29,0.29,13.2,0.046,26,6
6.1,0.28,0.35,12.8,0.048,63,5
5.9,0.31,0.3,7.7,0.047,60,6
6.9,0.21,0.28,2.4,0.056,49,8
8.4,0.19,0.42,1.6,0.047,9,4
8.3,0.27,0.45,1.3,0.048,8,4
7.1,0.25,0.39,2.1,0.036,30,8
8,0.23,0.37,9.6,0.054,23,4
7.5,0.24,0.31,13,0.049,46,5
6.3,0.33,0.2,5.8,0.04,24,5
6.2,0.33,0.19,5.6,0.042,22,5
6.3,0.34,0.19,5.8,0.041,22,5
5.8,0.29,0.05,0.8,0.038,11,5
8,0.32,0.26,1.2,0.05,11.5,4
5.6,0.29,0.05,0.8,0.038,11,5
7.4,0.13,0.39,4.7,0.042,36,7
7.7,0.3,0.32,1.6,0.037,23,6
7,0.24,0.34,1.4,0.031,27,6
8.6,0.18,0.4,1.1,0.04,20,7
7,0.11,0.32,4.6,0.057,59,7
7.7,0.32,0.62,10.6,0.036,56,6
7.7,0.32,0.62,10.6,0.036,56,6
6.5,0.26,0.27,12.9,0.044,69,6
7.9,0.28,0.41,2,0.044,50,8
6.3,0.27,0.23,2.9,0.047,13,5
5.4,0.595,0.1,2.8,0.042,26,5
6.7,0.25,0.33,2.9,0.057,52,7
6.5,0.25,0.35,12,0.055,47,5
6.1,0.36,0.58,15,0.044,42,5
7.7,0.17,0.52,5.9,0.017,21,7
6.4,0.26,0.43,12.6,0.033,64,5
6.5,0.26,0.28,12.5,0.046,80,6
5.9,0.29,0.33,7.4,0.037,58,5
6.2,0.28,0.43,13,0.039,64,5
6.1,0.27,0.44,6.7,0.041,61,5
6.4,0.43,0.32,1.4,0.048,10,5
6.1,0.36,0.58,15,0.044,42,5
6.2,0.35,0.29,7.3,0.044,56,6
7.7,0.24,0.29,15.3,0.044,39,7
6.2,0.34,0.28,7.5,0.034,40,5
6.3,0.27,0.46,11.75,0.037,61,6
5.4,0.415,0.19,1.6,0.039,27,7
6.9,0.48,0.36,3.5,0.03,31,7
6.5,0.18,0.33,8,0.051,16,7
6.7,0.15,0.29,5,0.058,28,7
8.2,0.345,1,18.2,0.047,55,5
8.5,0.16,0.35,1.6,0.039,24,5
6.8,0.705,0.25,3.2,0.048,10,4
7.3,0.25,0.39,6.4,0.034,8,5
7.6,0.345,0.26,1.9,0.043,15,5
7.6,0.22,0.34,9.7,0.035,26,6
6.5,0.17,0.33,1.4,0.028,14,6
8.2,0.23,0.37,1.3,0.042,39,5
7.6,0.22,0.34,9.7,0.035,26,6
7.6,0.345,0.26,1.9,0.043,15,5
7.5,0.32,0.26,1.8,0.042,13,5
6.6,0.23,0.32,0.9,0.041,25,7
6.6,0.2,0.32,1.1,0.039,25,7
7.3,0.24,0.34,15.4,0.05,38,6
7.3,0.24,0.34,15.4,0.05,38,6
8,0.42,0.36,5,0.037,34,7
7.3,0.24,0.34,15.4,0.05,38,6
6.1,0.19,0.25,4,0.023,23,6
5.9,0.26,0.21,12.5,0.034,36,6
8.3,0.23,0.43,3.2,0.035,14,5
6.5,0.34,0.28,1.8,0.041,43,6
6.8,0.22,0.35,17.5,0.039,38,6
6.5,0.08,0.33,1.9,0.028,23,7
5.5,0.42,0.09,1.6,0.019,18,7
5.1,0.42,0.01,1.5,0.017,25,7
6,0.27,0.19,1.7,0.02,24,7
6.8,0.22,0.35,17.5,0.039,38,6
6.5,0.08,0.33,1.9,0.028,23,7
7.1,0.13,0.38,1.8,0.046,14,6
7.6,0.3,0.25,4.3,0.054,22,5
6.6,0.13,0.3,4.9,0.058,47,6
6.5,0.14,0.33,7.6,0.05,53,5
7.7,0.28,0.33,6.7,0.037,32,7
6,0.2,0.71,1.6,0.15,10,5
6,0.19,0.71,1.5,0.152,9,6
7.7,0.28,0.33,6.7,0.037,32,7
5.1,0.39,0.21,1.7,0.027,15,6
5.7,0.36,0.34,4.2,0.026,21,6
6.9,0.19,0.33,1.6,0.043,63,5
6,0.41,0.21,1.9,0.05,29,6
7.4,0.28,0.3,5.3,0.054,44,6
7.4,0.3,0.3,5.2,0.053,45,6
6.9,0.19,0.33,1.6,0.043,63,5
7.7,0.28,0.39,8.9,0.036,8,7
8.6,0.16,0.38,3.4,0.04,41,6
8.2,0.26,0.44,1.3,0.046,7,4
6.5,0.25,0.27,15.2,0.049,75,5
7,0.24,0.18,1.3,0.046,9,4
8.6,0.18,0.36,1.8,0.04,24,6
7.8,0.27,0.34,1.6,0.046,27,6
6,0.26,0.34,1.3,0.046,6,5
6.1,0.24,0.27,9.8,0.062,33,6
8,0.24,0.3,17.45,0.056,43,6
7.6,0.21,0.6,2.1,0.046,47,7
8,0.19,0.36,1.8,0.05,16,7
6.4,0.28,0.41,6.8,0.045,61,5
6.4,0.28,0.43,7.1,0.045,60,6
6.9,0.24,0.39,1.3,0.063,18,7
5.8,0.36,0.26,3.3,0.038,40,6
6.6,0.18,0.28,3.3,0.044,18,6
5.8,0.36,0.26,3.3,0.038,40,6
5.1,0.52,0.06,2.7,0.052,30,5
6.6,0.22,0.37,1.2,0.059,45,7
8.3,0.15,0.39,1.3,0.055,32,6
7.6,0.16,0.44,1.4,0.043,25,6
7.7,0.16,0.41,1.7,0.048,60,7
8.3,0.16,0.48,1.7,0.057,31,6
6.2,0.25,0.47,11.6,0.048,62,5
6.1,0.16,0.27,12.6,0.064,63,5
7.6,0.39,0.22,2.8,0.036,19,5
6.8,0.37,0.47,11.2,0.071,44,5
7.6,0.16,0.44,1.4,0.043,25,6
7.1,0.18,0.42,1.4,0.045,47,6
8.3,0.14,0.26,1.5,0.049,56,6
8.6,0.2,0.42,1.5,0.041,35,7
8.6,0.2,0.42,1.5,0.041,35,7
6.8,0.19,0.32,7.05,0.019,54,8
7.6,0.19,0.38,10.6,0.06,48,6
6.8,0.34,0.74,2.8,0.088,23,6
6.2,0.15,0.46,1.6,0.039,38,6
6.6,0.14,0.44,1.6,0.042,47,6
8,0.55,0.17,8.2,0.04,13,4
7,0.24,0.35,1.5,0.052,51,7
6.3,0.6,0.44,11,0.05,50,4
7.1,0.2,0.41,2.1,0.054,24,6
6.2,0.34,0.29,7.6,0.047,45,6
7.1,0.3,0.36,6.8,0.055,44.5,6
7.1,0.3,0.36,6.8,0.055,44.5,6
7.9,0.64,0.46,10.6,0.244,33,3
8.8,0.17,0.38,1.8,0.04,39,6
7.5,0.17,0.37,1.5,0.06,18,5
7.1,0.47,0.24,6,0.044,11,5
7.1,0.15,0.34,5.3,0.034,33,7
7.5,0.17,0.34,1.4,0.035,13,5
8.2,0.68,0.3,2.1,0.047,17,4
7.7,0.275,0.3,1,0.039,19,5
7.3,0.49,0.32,5.2,0.043,18,4
7.5,0.33,0.48,19.45,0.048,55,5
7.2,0.21,0.37,1.6,0.049,23,7
7.3,0.15,0.4,2,0.05,24,5
6.5,0.19,0.1,1.3,0.046,23,5
7,0.31,0.52,1.7,0.029,5,5
8.3,0.4,0.38,1.1,0.038,15,5
6.1,0.37,0.36,4.7,0.035,36,6
7.3,0.24,0.34,7.5,0.048,29,5
6.9,0.21,0.81,1.1,0.137,52,6
7.6,0.29,0.42,1.3,0.035,18,5
9.4,0.29,0.55,2.2,0.05,17,4
7,0.31,0.52,1.7,0.029,5,5
8.6,0.26,0.41,2.2,0.049,29,5
7.5,0.21,0.34,1.2,0.06,26,6
7.2,0.51,0.24,10,0.093,35,5
7.5,0.21,0.34,1.2,0.06,26,6
5.3,0.3,0.2,1.1,0.077,48,4
8,0.26,0.36,2,0.054,30,7
7,0.21,0.28,7.5,0.07,45,5
6.7,0.26,0.26,4,0.079,35.5,5
6.7,0.26,0.26,4.1,0.073,36,5
8.1,0.26,0.37,1.9,0.072,48,6
8.3,0.22,0.38,14.8,0.054,32,5
6.4,0.3,0.51,5.5,0.048,62,6
7.5,0.19,0.34,2.6,0.037,33,7
8.8,0.33,0.44,6.35,0.024,9,7
6.9,0.2,0.36,1.5,0.031,38,6
8,0.37,0.32,1.6,0.04,32,7
8.3,0.22,0.38,14.8,0.054,32,5
8.2,0.29,0.33,9.1,0.036,28,7
7.7,0.34,0.3,8,0.048,25,5
6.2,0.55,0.45,12,0.049,27,6
6.4,0.4,0.19,3.2,0.033,28,7
7.5,0.28,0.33,7.7,0.048,42,6
7.8,0.26,0.44,1.3,0.037,43,5
6.5,0.26,0.34,16.3,0.051,56,5
6.3,0.34,0.29,6.2,0.046,29,6
6.8,0.15,0.33,4.7,0.059,31,7
6.3,0.27,0.25,5.8,0.038,52,6
6.3,0.27,0.25,5.8,0.038,52,6
7.4,0.2,0.37,16.95,0.048,43,6
6.3,0.23,0.21,5.1,0.035,29,7
7.3,0.31,0.69,10.2,0.041,58,5
5.2,0.24,0.45,3.8,0.027,21,8
7,0.24,0.32,1.3,0.037,39,8
7.4,0.2,0.37,16.95,0.048,43,6
7,0.17,0.33,4,0.034,17,7
8.3,0.21,0.58,17.1,0.049,62,6
7.2,0.21,0.35,14.5,0.048,35,6
7.1,0.21,0.4,1.2,0.069,24,6
8.4,0.17,0.31,6.7,0.038,29,7
7.4,0.24,0.31,8.4,0.045,52,5
5.3,0.24,0.33,1.3,0.033,25,8
6.5,0.28,0.26,8.8,0.04,44,6
6.3,0.23,0.21,5.1,0.035,29,7
6.5,0.29,0.25,10.6,0.039,32,6
5.8,0.29,0.21,2.6,0.025,12,7
6.3,0.27,0.25,5.8,0.038,52,6
6.3,0.17,0.42,2.8,0.028,45,6
6.3,0.16,0.4,1.6,0.033,59,5
7.9,0.29,0.39,6.7,0.036,6,5
7.3,0.31,0.69,10.2,0.041,58,5
5.5,0.32,0.45,4.9,0.028,25,7
5.2,0.24,0.45,3.8,0.027,21,8
7.2,0.37,0.15,2,0.029,27,7
6.1,0.29,0.27,1.7,0.024,13,7
9.2,0.22,0.4,2.4,0.054,18,4
7.2,0.37,0.15,2,0.029,27,7
8,0.18,0.37,1.3,0.04,15,6
6.5,0.22,0.34,12,0.053,55,6
7.4,0.18,0.4,1.6,0.047,22,5
6.5,0.52,0.17,1.4,0.047,5,4
7,0.15,0.38,2.2,0.047,33,8
5.9,0.415,0.13,1.4,0.04,11,5
8.1,0.45,0.34,8.3,0.037,33,5
5.8,0.415,0.13,1.4,0.04,11,5
6.4,0.5,0.16,12.9,0.042,26,5
6.7,0.105,0.32,12.4,0.051,34,6
6,0.4,0.3,1.6,0.047,30,6
6.6,0.25,0.39,1.45,0.04,40,7
9.8,0.36,0.45,1.6,0.042,11,5
9.6,0.23,0.4,1.5,0.044,19,5
6.3,0.55,0.45,13,0.047,33,6
6.5,0.115,0.29,1.95,0.038,73,7
6.4,0.125,0.29,5.85,0.042,24,7
5.7,0.1,0.27,1.3,0.047,21,5
7.9,0.25,0.29,5.3,0.031,33,7
6.9,0.2,0.28,1.2,0.048,36,6
6.9,0.23,0.34,4,0.047,24,6
6.8,0.39,0.31,14.35,0.043,28,5
8.7,0.22,0.42,2.3,0.053,27,5
7.4,0.41,0.34,4.7,0.042,19,5
6.7,0.25,0.34,12.85,0.048,30,6
6,0.26,0.42,5.2,0.027,70,8
6.1,0.31,0.37,8.4,0.031,70,8
9.2,0.28,0.46,3.2,0.058,39,5
9,0.31,0.49,6.9,0.034,26,5
8.5,0.16,0.33,1,0.076,17,6
9.3,0.34,0.49,7.3,0.052,30,5
9.2,0.28,0.46,3.2,0.058,39,5
7.2,0.24,0.3,1.6,0.048,27,5
7.2,0.25,0.32,1.5,0.047,27,5
6.8,0.32,0.18,7.5,0.041,71,5
9.1,0.27,0.32,1.1,0.031,15,5
8.9,0.34,0.32,1.3,0.041,12,5
7,0.17,0.37,5.7,0.025,29,6
6.7,0.25,0.23,7.2,0.038,61,5
6.9,0.32,0.17,7.6,0.042,69,5
6.8,0.32,0.18,7.5,0.041,71,5
6.1,0.6,0,1.3,0.042,24,4
5.3,0.395,0.07,1.3,0.035,26,6
7.9,0.16,0.3,4.8,0.037,37,4
7.6,0.33,0.36,2.1,0.034,26,4
7.8,0.3,0.29,16.85,0.054,23,6
7.8,0.3,0.29,16.85,0.054,23,6
5.7,0.26,0.27,4.1,0.201,73.5,6
7.8,0.3,0.29,16.85,0.054,23,6
7.5,0.14,0.34,1.3,0.055,50,6
7.8,0.3,0.29,16.85,0.054,23,6
6.6,0.25,0.41,7.4,0.043,29,7
5.7,0.26,0.27,4.1,0.201,73.5,6
8.2,0.23,0.49,0.9,0.057,15,6
6,0.24,0.32,6.3,0.03,34,5
6.1,0.45,0.27,0.8,0.039,13,5
7.4,0.23,0.43,1.4,0.044,22,6
7.2,0.2,0.38,1,0.037,21,5
7.5,0.14,0.34,1.3,0.055,50,6
7.7,0.25,0.43,4.5,0.062,20,6
8.2,0.61,0.45,5.4,0.03,15,5
7.6,0.21,0.44,1.9,0.036,10,6
7.4,0.22,0.33,2,0.045,31,5
7.2,0.26,0.26,12.7,0.036,49,6
6.4,0.25,0.41,8.6,0.042,57,5
6.3,0.32,0.35,11.1,0.039,29,7
6.8,0.25,0.29,2,0.042,19,6
9.8,0.44,0.4,2.8,0.036,35,5
7.2,0.2,0.25,4.5,0.044,31,5
8.2,0.61,0.45,5.4,0.03,15,5
